id,title_en,title_dv,summary_en,summary_dv,bullet1_en,bullet1_dv,bullet2_en,bullet2_dv,bullet3_en,bullet3_dv
mobility,Decongestation & 'Veshi' spaces,ތޮއްޖެހުން ކުޑަކުރުން އަދި 'ވެށި' ޖާގަތައް,"82% of Malé road space is allocated to vehicles. Decongest streets for a walkable, pedestrianized city, safe for all forms of commute.",މާލޭ މަގުތަކުގެ ޖާގައިގެ 82% ހާއްސަކޮށްފައިވަނީ އުޅަނދުފަހަރަށް. ހިނގާބިނގާވެ އުޅެވޭ، ފައިމަގު ސިޓީއެއް ހެދުމަށް މަގުތައް ތޮއްޖެހުން ކުޑަކުރުން، ދަތުރުފަތުރުގެ ހުރިހާ ވައްތަރަކަށް ރައްކާތެރި.,"Reclaim roads for the public, fix sidewalks, improve crossings and traffic management for greater walkability",ޢާންމުންނަށް މަގުތައް ހޯދައިދީ، ފުޓުޕާތް ރަނގަޅުކޮށް، ކްރޮސިންތަކާއި ޓްރެފިކް ހިންގުން ރަނގަޅުކޮށް ހިނގާ ފަސޭހަކަން އިތުރުކުރުން,40% of all students are enrolled across Greater Male' City - Pilot traffic management systems in at least 5 schools within Year 1,ހުރިހާ ދަރިވަރުންގެ 40% ކިޔަވަނީ ގްރޭޓަރ މާލެ ސިޓީގައި - ފުރަތަމަ އަހަރު މަދުވެގެން 5 ސްކޫލެއްގައި ޓްރެފިކް މެނޭޖްމެންޓް ނިޒާމު ޕައިލެޓް ކުރުން,"Reclaim land allotments for community 'veshi spaces' - Utilize and open up City Council assets, such as 'Thaisey Koshi', free-of-charge, for community-led projects and as a 'Zuvaanunge Naadhee'",މުޖުތަމައު 'ވެށި ޖާގަ' ތަކަށް ބިން ހޯދުން - ސިޓީ ކައުންސިލްގެ ތަންތަން، 'ތައިސޭ ކޮށި' ފަދަ ތަންތަން، މުޖުތަމައު މަޝްރޫޢުތަކަށާއި 'ޒުވާނުންގެ ނާދީ' ގެ ގޮތުގައި ހިލޭ ހުޅުވާލުން
waste,Clean streets & managed waste,ސާފު މަގުތައް އަދި ރޭވިގެން ކުނި ނެގުން,"Malé and its annexes generate 548 tonnes of waste per day. Efficient collection mechanisms, proactively cleaned streets, dustbins and digitized, transparent reporting.",މާލެ އާއި އޭގެ ތަންތަނުން ދުވާލެއްގައި 548 ޓަނު ކުނި އުފެދޭ. ހަރުދަނާ ކުނި ނެގުމުގެ ނިޒާމު، ސާފުކޮށް ބެލެހެއްޓޭ މަގުތައް، ކުނި ވައްޓާ، އަދި ޑިޖިޓަލް ދެފުށް ފެންނަ ރިޕޯޓިން.,"Collection schedules and routes digitized, with real-time tracking. Coordinate community collection points for efficient collection.",ކުނި ނެގުމުގެ ޝެޑިއުލް އަދި މަގުތައް ޑިޖިޓަލައިޒްކޮށް ވަގުތުން ވަގުތަށް ޓްރެކް ކުރުން. ހަރުދަނާ ކުނި ނެގުމަށް މުޖުތަމައު ކުނި ނެގުމުގެ ޕޮއިންޓްތައް ހަމަޖެއްސުން,"Deploy dustbins at arm's length & enforcement against illegal dumping",ކޮންމެ ދިމާލެއްގައި ކުނި ވައްޓާ ބެހެއްޓުން އަދި ގާނޫނާ ޚިލާފަށް ކުނި އެޅުމާ ދެކޮޅަށް ފިޔަވަޅު އެޅުން,"Real-time cleanliness dashboard: metrics tracked ward by ward, hot zones identified by citizen-reporting",ވަގުތުން ސާފުތާހިރުކަމުގެ ޑޭޝްބޯޑް: ވޯޑުން ވޯޑަށް ޓްރެކް ކުރެވޭ މިންގަނޑުތައް، ރައްޔިތުންގެ ރިޕޯޓުން ހޮޓް ޒޯންތައް ފާހަގަކުރެވޭ
affordable,Affordable living & fair procurement,ދެމެހެއްޓެނިވި ދިރިއުޅުން އަދި ހަމަހަމަ ޕްރޮކިއުމެންޓް,"Residents spend over 60% of their income on rent alone — more than twice the minimum wage. Assess affordability, support community & small business.",ރައްޔިތުން ހަމައެކަނި ކުއްޔަށް އާމްދަނީގެ 60% އަށް ވުރެ ގިނައިން ހޭދަކުރޭ — މިނިމަމް ވެއިޖްގެ ދެ ގުނައަށް ވުރެ ގިނަ. ދެމެހެއްޓެނިވިކަން ބެލުން، މުޖުތަމައު އަދި ކުދި ވިޔަފާރިތަކަށް އެއްބާރުލުން ދިނުން,"Conduct and establish a Rental Affordability Index (RAI) - a consistent & long-term method of tracking the rental market, and how affordability shifts over time",ރެންޓަލް އެފޯޑެބިލިޓީ އިންޑެކްސް (RAI) ހެދުން - ކުލީގެ ބާޒާރާއި ދެމެހެއްޓެނިވިކަން ބަދަލުވާ ގޮތް ދިގު މުއްދަތަށް ޓްރެކް ކުރެވޭ ހަރުދަނާ ނިޒާމެއް,"Prioritize locals within the City Council labor force, providing vocational training for youth - assess pay structure and abolish political appointments",ސިޓީ ކައުންސިލް ވަޒީފާތަކުގައި ދިވެހިން އިސްކުރުން، ޒުވާނުންނަށް ވޮކޭޝަނަލް ޓްރެއިނިން ދިނުން - މުސާރައިގެ ނިޒާމު ބެލައި ސިޔާސީ ޢައްޔަންތައް ނައްތާލުން,"Fair procurement: Council contracts to prioritize local SMEs, freelancers, and a fully transparent & publicized chain of documentation.",ހަމަހަމަ ޕްރޮކިއުމެންޓް: ކައުންސިލް ކޮންޓްރެކްޓްތަކުގައި ލޯކަލް SME ތައް، ފްރީލާންސަރުން އިސްކޮށް، ހުރިހާ ލިޔެކިޔުމެއް ދެފުށް ފެންނަ ގޮތަށް ޢާންމުކުރުން
governance,"Transparent, accountable & an empowered city government",ދެފުށް ފެންނަ، ޒިންމާދާރު އަދި ބާރުވެރި ސިޓީ ސަރުކާރެއް,"City Council accesses less than 1% of the National Budget for services that cater to over 50% of the population. Open budgets, open contracts, and ZERO decisions without community input.",ގައުމީ ބަޖެޓުގެ 1% އަށް ވުރެ ކުޑަ މިންވަރެއް ލިބެނީ އާބާދީގެ 50% އަށް ވުރެ ގިނައަށް ޚިދުމަތް ދޭ ސިޓީ ކައުންސިލަށް. ހުޅުވާ ބަޖެޓް، ހުޅުވާ ކޮންޓްރެކްޓް، އަދި މުޖުތަމައު ބައިވެރިނުވެ ސުމެއް ނިންމުން.,"Publish the full budget in plain view, disclose all procurement details and implement public approval mechanisms before large procurements are tendered.",ބަޖެޓް ފުރިހަމައަށް ފެންނަ ގޮތަށް ޝާއިޢުކުރުން، ހުރިހާ ޕްރޮކިއުމެންޓް ތަފްސީލެއް ހާމަކުރުން، އަދި ބޮޑެތި ޕްރޮކިއުމެންޓް ޓެންޑާ ކުރުމުގެ ކުރިން ޢާންމުންގެ ރުހުމުގެ ނިޒާމެއް ހެދުން,"Weekly ward-halls across each district, feeding input into a monthly city-wide full-day consultation, with a digital chatroom providing direct access to councillors and technical staff / consultants.",ކޮންމެ ދާއިރާއެއްގައި ހަފްތާ ވޯޑް ހޯލް ބާއްވާ، މަހަކު ސިޓީ ފެންވަރުގައި ދުވާލެއްގެ މަޝްވަރާ، ޑިޖިޓަލް ޗެޓްރޫމެއް ގައި ކައުންސިލަރުންނާއި ޓެކްނިކަލް މުވައްޒަފުންނާ ސީދާ ގުޅުން,"Service request tracker: 48-hour response targets, public status updates and meaningful reporting mechanisms.",ޚިދުމަތް ރިކުއެސްޓް ޓްރެކަރ: 48 ގަޑިއިރުގެ ޖަވާބު ޓާގެޓް، ޢާންމު ސްޓޭޓަސް އަޕްޑޭޓް، އަދި ހަރުދަނާ ރިޕޯޓިން ނިޒާމު
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
